2011-04-01 00:00:00	256	2
-0.5859375	-0.006991700738567649	1.0640082425149977e-05
-1.7578125	-0.0007363006892566763	1.2656990453745915e-06
-2.9296875	-0.00011154115441470235	1.9295588598187745e-07
-4.1015625	-2.0383788936145228e-05	3.471039300023555e-08
-5.2734375	-4.2489688625960895e-06	7.059285799451363e-09
-6.4453125	-9.766087663721155e-07	1.5726816534916143e-09
-7.6171875	-2.4225101233168773e-07	3.749858591436188e-10
-8.7890625	-6.403775694913636e-08	9.41762942924084e-11
-9.9609375	-1.7919884513135144e-08	2.4649896531654197e-11
-11.1328125	-5.291588737100328e-09	6.676245957775282e-12
-12.3046875	-1.6462089281445237e-09	1.861260004524158e-12
-13.4765625	-5.387252335331449e-10	5.316542779035643e-13
-14.6484375	-1.8501423347170328e-10	1.5481109323389453e-13
-15.8203125	-6.644366760716472e-11	4.5651846145180234e-14
-16.9921875	-2.4838142702107713e-11	1.3501951017448757e-14
-18.1640625	-9.615284493516985e-12	3.943209562907638e-15
-19.3359375	-3.83467223639975e-12	1.105378946092437e-15
-20.5078125	-1.5679427251207486e-12	2.7923881871190664e-16
-21.6796875	-6.545631742011173e-13	5.1428591279892195e-17
-22.8515625	-2.780226735109216e-13	-3.2864800644527547e-18
-24.0234375	-1.1981049768418553e-13	-1.134423363520773e-17
-25.1953125	-5.2267078795495014e-14	-8.964352716883347e-18
-26.3671875	-2.3042136932173174e-14	-5.6125267136017425e-18
-27.5390625	-1.0251525095765149e-14	-3.1978114912049657e-18
-28.7109375	-4.597976515980259e-15	-1.73541790472628e-18
-29.8828125	-2.077308181326436e-15	-9.155415219133542e-19
-31.0546875	-9.447428905662281e-16	-4.746198241661528e-19
-32.2265625	-4.3230411272759475e-16	-2.432984718012627e-19
-33.3984375	-1.9895808708953943e-16	-1.2381736035865056e-19
-34.5703125	-9.206681769914363e-17	-6.272289776265549e-20
-35.7421875	-4.282714351084083e-17	-3.168737954460563e-20
-36.9140625	-2.0023588726746045e-17	-1.5986842863711775e-20
-38.0859375	-9.408657095395665e-18	-8.063408964328608e-21
-39.2578125	-4.442769030323816e-18	-4.069371197386337e-21
-40.4296875	-2.1082291825230958e-18	-2.0563686377384006e-21
-41.6015625	-1.0053972917705407e-18	-1.0411434945711856e-21
-42.7734375	-4.818958355903069e-19	-5.284420244036758e-22
-43.9453125	-2.321830588182765e-19	-2.6901622528777316e-22
-45.1171875	-1.1247926078880431e-19	-1.3741899917827252e-22
-46.2890625	-5.480719806989896e-20	-7.046313946291453e-23
-47.4609375	-2.6876880151011835e-20	-3.6276826258685974e-23
-48.6328125	-1.3277508700456361e-20	-1.87523699146387e-23
-49.8046875	-6.6187485656118356e-21	-9.729054380843779e-24
-50.9765625	-3.3391409618064595e-21	-5.060208020637703e-24
-52.1484375	-1.7137485303424087e-21	-2.631621006481769e-24
-53.3203125	-9.027812298714832e-22	-1.3611852212113553e-24
-54.4921875	-4.9518051985917525e-22	-6.926599753973801e-25
-55.6640625	-2.886125775328631e-22	-3.3875638518129767e-25
-56.8359375	-1.8289915493656436e-22	-1.503215139668948e-25
-58.0078125	-1.2813597692183352e-22	-4.9481534874585007e-26
-59.1796875	-9.930287109345386e-23	4.6690649532686795e-27
-60.3515625	-8.377086871317579e-23	3.375632442974315e-26
-61.5234375	-7.512028756259242e-23	4.929187136045406e-26
